time,knee_angle_pitch
0.001,5.90414794459123
0.006,6.13936059089261
0.011,5.79710251921041
0.016,5.62993331724535
0.021,5.60824980507365
0.026,5.58896533881495
0.031,5.58705771677298
0.036,5.58982657544959
0.041,5.60819581487914
0.046,5.57427907140317
0.051,5.4858966652826
0.056,5.38323355032003
0.061,5.32660957289815
0.066,5.33735969622366
0.071,5.34564965658593
0.076,5.37686622532717
0.081,5.41737948489403
0.086,5.44291232830084
0.091,5.43793970518694
0.096,5.41693558613578
0.101,5.43072220449866
0.106,5.47752064444193
0.111,5.56563839277566
0.116,5.64876881136647
0.121,5.72927657108815
0.126,5.82215485992683
0.131,5.88926639539869
0.136,5.95510518150065
0.141,6.02570564394785
0.146,6.10280341132738
0.151,6.2065577146038
0.156,6.3360306640728
0.161,6.47288735866245
0.166,6.62075031034081
0.171,6.7328865375621
0.176,6.60810347452382
0.181,6.32181020663101
0.186,6.18353256487514
0.191,6.18209108906595
0.196,6.30581729326308
0.201,6.47871704471423
0.206,6.62153325657603
0.211,6.73638979620385
0.216,6.87717466394027
0.221,7.06445553365708
0.226,7.28476985571182
0.231,7.52585191774287
0.236,7.77915722032304
0.241,8.03984929230314
0.246,8.30895669229949
0.251,8.58806080546555
0.256,8.85211436549116
0.261,9.08219440675995
0.266,9.27127491031748
0.271,9.43039379106729
0.276,9.59871118161786
0.281,9.80444118525178
0.286,10.0311125516146
0.291,10.2997589277092
0.296,10.6096696837847
0.301,10.9497139357829
0.306,11.3363117551262
0.311,11.7632718414523
0.316,12.2046568534521
0.321,12.646955656539
0.326,13.0701115003056
0.331,13.4948825797055
0.336,13.9419660597683
0.341,14.4038683284605
0.346,14.865772874392
0.351,15.3198955928673
0.356,15.7709747596489
0.361,16.2194792786534
0.366,16.6997172218297
0.371,17.2312751260687
0.376,17.8044265036723
0.381,18.4145402516508
0.386,19.0359686123808
0.391,19.6442387887895
0.396,20.2219815322772
0.401,20.7686933813506
0.406,21.3128229081159
0.411,21.891017946786
0.416,22.5348823015717
0.421,23.2276367145193
0.426,23.9878544438495
0.431,24.8092220063413
0.436,25.6994681766358
0.441,26.9089130665529
0.446,28.207165418149
0.451,29.6171118265683
0.456,31.1099717959748
0.461,32.6613147241602
0.466,34.2345619560149
0.471,35.4085519443216
0.476,36.7062508850487
0.481,38.2352746438536
0.486,39.7867125055818
0.491,41.3554970891758
0.496,42.8976138012699
0.501,44.4936594089644
0.506,45.9306101559096
0.511,47.3200003174539
0.516,48.6131160759166
0.521,49.7396759526923
0.526,50.7039130025054
0.531,51.5250399155246
0.536,52.3150895455164
0.541,52.9625642924455
0.546,53.5118064775283
0.551,54.1272581541235
0.556,54.7707665944118
0.561,55.2964292460562
0.566,55.7973708865066
0.571,56.2206536146039
0.576,56.6229751446552
0.581,56.9662123085133
0.586,57.1871658016939
0.591,57.2797725996037
0.596,57.2695565802155
0.601,57.178774050407
0.606,56.988487866334
0.611,56.7623257088871
0.616,56.5123304482744
0.621,56.2516881827149
0.626,55.9946459747402
0.631,55.7380499472953
0.636,55.5259733764849
0.641,55.3665726630947
0.646,55.2801938785646
0.651,55.2009475808571
0.656,55.13292416133
0.661,54.9734798985617
0.666,54.7134029912514
0.671,54.3475304572874
0.676,53.9158677658735
0.681,53.4205263019845
0.686,52.8809444651876
0.691,52.3051982644013
0.696,51.6612673168687
0.701,50.8448218106302
0.706,50.0407392396714
0.711,49.1412293258655
0.716,48.1356453418332
0.721,47.0078469774929
0.726,45.8504259285852
0.731,44.7332508960196
0.736,43.6035503841532
0.741,42.5573859494557
0.746,41.5842962797628
0.751,40.662318507052
0.756,39.7787744688552
0.761,38.8794833024529
